Population,Latitude,Longitude,Elevation,Precipitation,Temperature,Soil_N,Soil_C,Soil_pH,denovo47741,denovo141845,denovo60594,denovo92904,denovo122802,denovo82702,denovo26,denovo85871,denovo90307,denovo6813,denovo54009,denovo68817,denovo40239,denovo85118,denovo128430,denovo309,denovo131404,denovo69,denovo63,denovo64,denovo57367,denovo11036,denovo111,denovo115,denovo3350,denovo3,denovo9786,denovo18,denovo10,denovo17,denovo15,denovo10005,denovo3037,denovo1051,denovo3085,denovo5957,denovo117022,denovo73,denovo74,denovo107,denovo102,denovo101,denovo0,denovo2,denovo4,denovo550,denovo763,denovo28,denovo137,denovo87791,denovo99418,denovo13,denovo14,denovo213,denovo212,denovo34084,denovo7,denovo44,denovo88,denovo275,denovo36,denovo31,denovo32,denovo33,denovo44318,denovo514,denovo85919,denovo325,denovo87220,denovo577,denovo122442,denovo81257,denovo87250,denovo79971,denovo99,denovo48138,denovo158,denovo43,denovo48,denovo41,denovo47,denovo2440,denovo20696,denovo1565,denovo37786,denovo952,denovo87194,denovo59,denovo52,denovo51,denovo1049
LOG,41.82394225,-111.622528,1733.236328,45.975,4,0.259007618,7.561484861,6.61,102,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,47,0,0,55,0,0,68,0,0,0,0,70,0,90,0,0,0,0,0,0,0,55,0,0,0,0,147,0,0,0,50,216,41,0,0,0,59,0,0,53,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,47,0,0,75,0,0,0,0,0,0,0,0,112,43,93,0,65,0,0,0
SNR,43.55568525,-110.6084433,1972.400696,51.825,1.575,0.290378522,6.418058026,6.605,0,0,0,0,0,0,102,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,43,46,0,0,0,0,0,0,0,0,45,0,0,61,0,0,0,60,95,44,0,0,83,72,0,42,0,0,0,56,0,62,57,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,156,0,0,0,0,0,0,0
SJ,37.139346,-107.1207218,2029.015472,44.925,6.125,0.215036006,3.499096465,6.292,50,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,50,0,0,0,0,38,0,40,47,0,0,0,0,0,0,37,0,0,0,57,79,43,0,0,0,118,0,0,0,0,42,0,0,0,0,50,49,0,46,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,82,0,63,0,43,0
BL,33.66038675,-109.099098,1839.140656,47.225,8.875,0.066100137,1.197488376,6.361,44,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,0,180,0,0,0,0,115,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,51,39,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0
LOG,41.81849,-111.616794,1690.299316,43.6,4.6,0.252305835,6.28597784,6.74,0,55,0,0,0,146,71,54,0,0,0,0,0,120,0,0,128,0,0,0,0,0,59,0,0,0,50,0,0,230,0,0,0,0,71,89,0,60,0,0,0,0,167,0,0,51,87,0,0,0,0,0,75,0,70,98,0,0,0,0,58,0,61,0,0,0,49,0,0,0,0,0,0,0,116,0,0,0,0,0,0,64,0,0,0,58,0,103,0,0,0
SJ,37.016004,-107.316025,1835.012085,41.9,7.5,0.065704249,1.165144563,6.31,0,0,75,0,0,0,93,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,57,0,70,0,0,0,0,105,0,0,0,0,49,0,58,0,46,0,0,106,0,59,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,48,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,67,0,0,0,75,0,0,0
SJ,37.049611,-107.137971,1944.266235,44.4,6.7,0.121848099,1.99393177,6.5,72,0,54,0,0,0,135,0,0,52,0,0,0,0,0,0,85,0,0,0,0,0,48,99,0,0,0,0,0,0,84,0,0,0,0,0,50,55,0,0,0,152,60,0,62,0,0,321,0,0,0,49,60,0,67,0,0,89,85,0,0,0,0,0,0,72,62,0,0,68,0,0,0,0,0,0,0,0,0,0,61,0,0,62,0,0,0,70,0,0,0
BL,33.594052,-109.140529,1706.725952,47.5,10.1,0.058054887,1.152005434,6.22,49,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,59,0,139,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,92,0,0,0,0,0,0,0,0,57,0,59,0,60,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
LOG,41.748571,-111.73055,1517.663452,54.5,3.4,0.133961216,6.197964191,6.62,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,114,0,244,0,272,166,0,0,0,0,0,78,0,0,0,0,0,0,0,0,71,0,129,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,46
SJ,37.049044,-107.138809,1941.546753,44.4,6.7,0.285717934,4.669311523,5.93,0,0,63,0,0,0,137,0,0,0,0,0,0,0,0,0,143,53,0,0,0,0,115,69,58,0,0,0,0,0,0,83,0,0,0,69,0,71,0,0,0,57,164,89,0,0,0,169,0,0,0,0,0,71,0,0,0,0,141,0,0,0,0,0,0,71,130,0,0,71,0,69,0,123,0,0,0,0,54,0,0,0,0,0,0,89,0,115,0,0,0
LOG,41.86425,-111.571343,1861.850952,42.9,4,0.45576629,6.185279846,6.24,62,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,77,0,48,52,0,0,78,0,0,0,0,133,0,55,0,0,0,0,0,0,0,100,0,0,0,0,130,0,0,0,43,421,0,0,0,0,44,0,0,70,0,0,53,0,0,0,0,0,0,0,92,0,0,0,0,0,0,49,53,0,0,46,0,0,0,0,0,65,74,195,0,139,0,0,66
