Plant population,Soil inoculum (% soil N),Biomass growth
LOG,0.11,0.98788366
LOG,0.11,49.44502692
LOG,0.11,71.75223434
LOG,0.11,123.2635922
LOG,0.24,106.3378518
LOG,0.24,119.5900598
LOG,0.24,196.7317575
LOG,0.24,237.0159233
LOG,0.26,54.27431763
LOG,0.26,125.0706257
LOG,0.33,186.719253
LOG,0.33,216.9420931
LOG,0.33,354.1605215
LOG,0.33,446.8810574
SJ,0.11,117.7859827
SJ,0.11,26.95864267
SJ,0.24,1.972270292
SJ,0.24,116.4753664
SJ,0.26,28.42903983
SJ,0.26,259.2597267
SJ,0.26,188.4784554
SJ,0.33,214.8293178
SJ,0.33,212.6930992
SJ,0.33,94.21190663
SJ,0.33,279.7414971
SNR,0.11,64.21302352
SNR,0.11,76.85898765
SNR,0.11,79.5056618
SNR,0.11,95.96600692
SNR,0.11,104.3116924
SNR,0.11,107.1178265
SNR,0.11,119.2332159
SNR,0.11,121.0972666
SNR,0.11,142.582263
SNR,0.11,166.7892487
SNR,0.11,209.2046691
SNR,0.11,254.9893484
SNR,0.11,329.4546894
SNR,0.11,367.407805
SNR,0.24,6.332547615
SNR,0.24,11.96124961
SNR,0.24,18.91411378
SNR,0.24,25.06487515
SNR,0.24,36.36938222
SNR,0.24,44.96296515
SNR,0.24,50.32536864
SNR,0.24,52.1381049
SNR,0.24,56.62070625
SNR,0.24,68.80545856
SNR,0.24,70.33009849
SNR,0.24,120.7133774
SNR,0.24,142.9162439
SNR,0.24,171.4743367
SNR,0.24,203.8745187
SNR,0.24,255.6946757
SNR,0.24,297.6606048
SNR,0.26,6.399965496
SNR,0.26,18.06154368
SNR,0.26,39.64335651
SNR,0.26,43.24437764
SNR,0.26,55.14021881
SNR,0.26,74.03060271
SNR,0.26,77.1677301
SNR,0.26,77.54852282
SNR,0.26,77.7303248
SNR,0.26,99.57291843
SNR,0.26,105.1587302
SNR,0.26,152.0273814
SNR,0.26,180.1576898
SNR,0.26,184.0542727
SNR,0.26,184.1384443
SNR,0.26,207.8415004
SNR,0.26,213.6863085
SNR,0.26,225.5635559
SNR,0.26,240.2092066
SNR,0.26,248.2619415
SNR,0.26,274.6700451
SNR,0.26,282.6316496
SNR,0.26,306.5036001
SNR,0.26,351.8885524
SNR,0.26,384.7704222
SNR,0.33,1.490249652
SNR,0.33,6.552588149
SNR,0.33,16.66614908
SNR,0.33,25.2838989
SNR,0.33,26.39674947
SNR,0.33,34.65520451
SNR,0.33,86.72974814
SNR,0.33,98.75447253
SNR,0.33,143.4017152
SNR,0.33,156.5923184
SNR,0.33,171.2262088
SNR,0.33,212.48933
SNR,0.33,265.7029563
SNR,0.33,283.6532773
SNR,0.33,313.818626
SNR,0.33,317.5735545
SNR,0.33,325.02264
SNR,0.33,447.1774443
