Population,Genotype,Soil,Abiotic,Level,Fertilization,Leaf.mass,Growth,Root.biomass,Root.shoot
BL,266,L,Nitrogen,2,5,25.1,1201.8,467.71,0.389174571
BL,266,L,Nitrogen,4,20,14.1,1038.47,683.12,0.657813899
BL,268,L,Nitrogen,2,5,9.5,663.15,589.44,0.888848677
BL,268,L,Nitrogen,C,0,36.2,1049.35,949.56,0.904903035
BL,278,L,Nitrogen,2,5,26.2,1059.99,493.64,0.465702507
BL,278,L,Nitrogen,3,10,23.2,1378.65,613.09,0.444703152
BL,278,L,Nitrogen,4,20,,790.31,501.96,0.635143172
BL,278,L,Nitrogen,C,0,55.2,1247.2,1158.87,0.929177357
BL,278,S,Nitrogen,C,0,46.3,869.54,761.78,0.876072406
BL,280,L,Nitrogen,C,0,30.3,699.14,706.75,1.010884801
BL,280,S,Nitrogen,4,20,18.8,846.84,769.32,0.908459685
BL,286,L,Nitrogen,2,5,5.1,730.55,417.11,0.570953391
SNR,401,L,Nitrogen,1,2,12.2,451.4,156.6,0.346920691
SNR,401,L,Nitrogen,2,5,7.8,213.2,,
SNR,406,L,Nitrogen,1,2,12.3,484.17,454.63,0.938988372
SNR,406,L,Nitrogen,2,5,7,812.74,732.08,0.900755469
SNR,406,L,Nitrogen,3,10,17.6,771.03,616.64,0.799761358
SNR,406,L,Nitrogen,C,0,37.8,553.82,382.33,0.690350655
SNR,406,S,Nitrogen,1,2,26.8,526.15,386.7,0.734961513
SNR,406,S,Nitrogen,2,5,16.9,438.26,208.16,0.474969196
SNR,406,S,Nitrogen,3,10,,528.55,571.76,1.081751963
