#SampleID	ID	Pop	Avg.N	N	X	Abundance	Taxa
4	BL	BL	0.11	0.066100137	1	0.129203876	Acidobacteria
8	246	BL	0.11	0.058054887	2	0.124263728	Acidobacteria
16	261	BL	0.11	0.06921228	3	0.164639939	Acidobacteria
17	267	BL	0.11	0.084045984	4	0.122078662	Acidobacteria
19	286	BL	0.11	0.02880705	5	0.124928748	Acidobacteria
1	LOG	LOG	0.33	0.259007618	16	0.093387802	Acidobacteria
5	571	LOG	0.33	0.252305835	17	0.098802964	Acidobacteria
9	585	LOG	0.33	0.133961216	18	0.03401102	Acidobacteria
11	562	LOG	0.33	0.45576629	19	0.096617899	Acidobacteria
15	564	LOG	0.33	0.120441362	20	0.112768383	Acidobacteria
3	JSJ	SJ	0.26	0.215036006	11	0.090062702	Acidobacteria
6	100	SJ	0.26	0.065704249	12	0.109158275	Acidobacteria
7	87	SJ	0.26	0.121848099	13	0.078947368	Acidobacteria
10	96	SJ	0.26	0.285717934	14	0.089587688	Acidobacteria
14	73	SJ	0.26	0.511826038	15	0.076762303	Acidobacteria
2	SNR	SNR	0.24	0.290378522	6	0.093102793	Acidobacteria
12	393	SNR	0.24	0.319068134	7	0.093197796	Acidobacteria
13	415	SNR	0.24	0.083758235	8	0.081512445	Acidobacteria
18	380	SNR	0.24	0.297878981	9	0.092152765	Acidobacteria
20	407	SNR	0.24	0.519211411	10	0.071062132	Acidobacteria
4	BL	BL	0.11	0.066100137	1	0.189720692	Actinobacteria
8	246	BL	0.11	0.058054887	2	0.199410982	Actinobacteria
16	261	BL	0.11	0.06921228	3	0.160079802	Actinobacteria
17	267	BL	0.11	0.084045984	4	0.181265438	Actinobacteria
19	286	BL	0.11	0.02880705	5	0.270853126	Actinobacteria
1	LOG	LOG	0.33	0.259007618	16	0.247292419	Actinobacteria
5	571	LOG	0.33	0.252305835	17	0.188105643	Actinobacteria
9	585	LOG	0.33	0.133961216	18	0.257457724	Actinobacteria
11	562	LOG	0.33	0.45576629	19	0.269238077	Actinobacteria
15	564	LOG	0.33	0.120441362	20	0.165779973	Actinobacteria
3	JSJ	SJ	0.26	0.215036006	11	0.222401672	Actinobacteria
6	100	SJ	0.26	0.065704249	12	0.176800304	Actinobacteria
7	87	SJ	0.26	0.121848099	13	0.23731712	Actinobacteria
10	96	SJ	0.26	0.285717934	14	0.242732282	Actinobacteria
14	73	SJ	0.26	0.511826038	15	0.238742162	Actinobacteria
2	SNR	SNR	0.24	0.290378522	6	0.252422573	Actinobacteria
12	393	SNR	0.24	0.319068134	7	0.245202356	Actinobacteria
13	415	SNR	0.24	0.083758235	8	0.187725632	Actinobacteria
18	380	SNR	0.24	0.297878981	9	0.211381341	Actinobacteria
20	407	SNR	0.24	0.519211411	10	0.355025651	Actinobacteria
4	BL	BL	0.11	0.066100137	1	0.076477294	Bacteroidetes
8	246	BL	0.11	0.058054887	2	0.075242257	Bacteroidetes
16	261	BL	0.11	0.06921228	3	0.070207106	Bacteroidetes
17	267	BL	0.11	0.084045984	4	0.093577807	Bacteroidetes
