Population,Genotype,Year,Annual Precip (cm),Mean annual temperature,Elevation (m),DBH (cm),Foliar Carbon (%),Foliar Nitrogen (%),Foliar C:N,Soil Carbon (%),Soil Nitrogen (%) from background sources (away from trees to measure underlying soil N gradient),Soil Nitrogen from beneath trees (compared to plant traits),Soil pH,Mean Leaf Area (cm2),Mean leaf mass (g),Foliar N_area (g/m2)
SJ,61,2012,89.5,0.2,2715.633301,26.43312102,48.67,3.073,15.83810612,,,0.126,,6.233,0.030,1.477316941
SJ,62,2012,89.5,0.2,2730.533447,15.2866242,47.61,3.24,14.69751318,0.974,0.072,0.058,,4.585,0.018,1.295453554
SJ,63,2012,89.5,0.2,2725.626465,24.84076433,50.11,3.552,14.1061485,0.35,0.029,0.131,8.41,7.697,0.034,1.586043933
SJ,64,2012,89.5,0.2,2735.116211,12.7388535,50.42,3.485,14.4682524,0.913,0.039,0.065,7.95,4.652,0.024,1.772926922
SJ,65,2012,89.5,0.2,2723.548828,15.92356688,45.58,2.943,15.48807162,0.597,0.05,0.048,7.96,6.643,0.035,1.550672929
SJ,66,2012,89.5,0.2,2727.024902,25.47770701,47.68,3.329,14.32188273,1.399,0.083,0.081,7.8,5.128,0.022,1.449922317
SJ,67,2012,49,3.6,2403.424072,73.24840764,,,,3.483,0.241,0.491,7.21,4.997,0.021,
SJ,68,2012,49,3.6,2403.958496,36.62420382,47.48,4.724,10.05084307,4.447,0.313,0.494,7.34,6.142,0.024,1.871642488
SJ,69,2012,49,3.6,2398.200195,12.7388535,47.12,4.228,11.1434567,4.721,0.288,0.69,6.92,8.439,0.042,2.120821698
SJ,70,2012,49,3.6,2404.72583,34.07643312,48.87,4.935,9.903289378,5.858,0.327,0.468,6.83,8.743,0.030,1.693341772
SJ,71,2012,49,3.6,2403.917969,23.56687898,49.29,4.153,11.8690717,8.524,0.516,0.641,7.3,4.413,0.021,1.94512559
SJ,72,2012,49,3.6,2402.49585,29.61783439,48.29,3.962,12.19045707,3.846,0.262,0.471,6.92,7.610,0.037,1.943602996
SJ,73,2012,49,3.6,2395.236816,61.46496815,48.16,3.613,13.32892033,8.024,0.59,0.526,7.11,4.994,0.022,1.5916937
SJ,74,2012,49,3.6,2395.729248,42.99363057,,,,,,,,4.651,0.021,
SJ,75,2012,49,3.6,2394.675781,47.77070064,49.29,4.121,11.96044382,12.603,0.788,0.68,6.82,4.495,0.017,1.589078478
SJ,76,2012,49,3.6,2392.461914,64.96815287,48.79,3.354,14.54459129,5.254,0.399,0.415,7.43,3.426,0.016,1.566496711
SJ,77,2012,49.5,5.5,2054.78125,12.7388535,47.84,2.892,16.54339168,2.094,0.174,0.157,7.84,10.567,0.065,1.769845175
SJ,78,2012,49.5,5.5,2020.126587,11.14649682,52.53,2.6,20.20068755,3.28,0.245,0.262,7.55,4.189,0.032,1.977736933
SJ,79,2012,49.5,5.5,2020.960083,19.10828025,48.96,2.594,18.87082835,1.642,0.135,0.169,8.31,6.859,0.048,1.802614443
SJ,80,2012,49.5,5.5,2019.94043,30.89171975,51.75,2.919,17.72781117,3.575,0.234,0.246,8.55,6.704,0.031,1.346799847
SJ,81,2012,49.5,5.5,2016.840942,33.43949045,46.57,1.997,23.31947263,,,0.12,8.1,5.532,0.031,1.119030404
SJ,82,2012,49.5,5.5,2021.580322,28.34394904,45.11,2.56,17.6246886,2.716,0.129,0.086,8.08,12.952,0.074,1.4560091
SJ,83,2012,49.5,5.5,2021.10437,7.643312102,48.76,2.876,16.95476587,1.501,0.117,0.228,7.68,9.569,0.070,2.113910293
SJ,84,2012,49.5,5.5,2021.938965,79.61783439,48.42,2.519,19.22202291,2.246,0.159,0.071,7.79,11.447,0.070,1.533019239
SJ,85,2012,49.5,5.5,2022.775757,6.369426752,48.48,2.671,18.15207129,3.597,0.261,0.17,7.72,8.032,0.053,1.751468141
SJ,86,2012,49.5,5.5,2020.665527,47.77070064,48.17,3.459,13.92829596,1.303,0.089,0.236,8.01,6.360,0.046,2.483858794
SJ,87,2012,44.4,6.7,1944.266235,10.82802548,48.95,3.42,14.31247102,1.315,0.145,0.125,8.06,6.519,0.032,1.678828011
SJ,88,2012,44.4,6.7,1941.357544,13.05732484,48.07,2.849,16.87253995,2.656,0.232,0.159,7.84,6.927,0.038,1.561520324
SJ,89,2012,44.4,6.7,1938.162354,12.42038217,48.97,3.565,13.73631882,3.493,0.238,0.183,7.99,8.986,0.053,2.089528431
SJ,90,2012,44.4,6.7,1940.645996,29.61783439,48.12,3.733,12.89018491,2.136,0.165,0.203,7.93,4.891,0.023,1.730184371
SJ,91,2012,44.4,6.7,1940.350952,43.63057325,50.06,4.434,11.29009665,2.586,0.183,0.297,7.45,5.554,0.031,2.483042129
SJ,92,2012,44.4,6.7,1939.373901,16.87898089,49.2,3.388,14.52271127,3.265,0.286,0.317,7.55,7.171,0.033,1.559207315
SJ,93,2012,44.4,6.7,1939.88269,14.96815287,50.27,2.844,17.67330105,3.515,0.271,0.407,7.82,5.229,0.024,1.287107508
SJ,94,2012,44.4,6.7,1937.588013,30.57324841,48.2,2.637,18.27658791,3.254,0.246,0.379,7.46,4.964,0.025,1.345796652
SJ,95,2012,44.4,6.7,1941.550293,35.03184713,52.36,3.598,14.55209963,3.269,0.238,0.178,7.63,5.433,0.029,1.942716898
SJ,96,2012,44.4,6.7,1941.546753,23.24840764,49.47,3.524,14.03762989,2.689,0.228,0.244,7.84,7.528,0.051,2.387407014
SJ,97,2012,41.9,7.5,1854.471924,19.42675159,,,,2.126,0.188,0.244,7.92,5.216,0.028,
SJ,98,2012,41.9,7.5,1857.730591,19.42675159,54.03,2.693,20.06592525,3.837,0.16,0.276,8.02,7.228,0.037,1.378503639
SJ,99,2012,41.9,7.5,1851.116211,18.47133758,51.43,2.9,17.73748502,3.013,0.249,0.445,7.8,5.960,0.036,1.738712185
SJ,100,2012,41.9,7.5,1835.012085,63.69426752,50,2.529,19.77153558,1.316,0.145,0.184,7.91,10.700,0.081,1.906681288
SJ,101,2012,41.9,7.5,1860.172852,15.2866242,48.29,2.438,19.80710889,2.079,0.166,0.18,8.12,6.636,0.068,2.510384803
SJ,102,2012,41.9,7.5,1860.749634,14.01273885,50.27,2.516,19.98316616,4.01,0.294,0.186,8.33,7.623,0.060,1.991428996
SJ,103,2012,41.9,7.5,1856.485962,14.33121019,52.88,2.507,21.0879356,1.541,0.158,0.195,7.93,7.004,0.056,2.005571366
SJ,104,2012,41.9,7.5,1860.713135,23.24840764,48.89,2.084,23.45899435,3.828,0.282,0.201,7.73,9.068,0.068,1.566554432
SJ,105,2012,41.9,7.5,1860.131226,18.15286624,49.94,2.376,21.01347093,2,0.193,0.169,8.15,9.329,0.066,1.6894536
SJ,106,2012,41.9,7.5,1860.77124,12.7388535,48.77,3.086,15.80180557,2.924,0.231,0.243,8.28,8.717,0.046,1.616652072
BL,245,2012,47.5,10.1,1716.401489,14.64968153,47.63,1.829,26.04365555,4.025,0.178,0.106,8.4,6.420,0.050,1.41496581
BL,246,2012,47.5,10.1,1706.725952,11.14649682,47.92,1.635,29.29730132,1.371,0.094,0.138,8.16,7.288,0.053,1.196487377
BL,247,2012,47.5,10.1,1716.886353,38.21656051,46.68,1.67,27.94879962,0.804,0.061,0.155,8.32,6.756,0.057,1.400799329
BL,248,2012,47.5,10.1,1709.777588,10.82802548,51.69,2.481,20.83732793,1.965,0.107,0.103,8.04,7.305,0.058,1.958544187
BL,249,2012,47.5,10.1,1710.705444,12.7388535,48.63,1.986,24.48914859,2.398,0.133,0.105,8.27,5.986,0.054,1.802549154
BL,250,2012,47.5,10.1,1711.03064,21.65605096,48.17,2.001,24.0775375,1.078,0.063,0.083,8.33,5.450,0.044,1.604569698
BL,251,2012,47.5,10.1,1709.279907,20.70063694,50.56,2.059,24.55006808,0.554,0.036,0.048,8.45,8.805,0.093,2.166884339
BL,252,2012,47.5,10.1,1707.745728,51.59235669,47.46,2.027,23.41866259,0.744,0.042,0.255,8.43,9.178,0.066,1.457696065
BL,253,2012,47.5,10.1,1707.164307,32.48407643,47,1.967,23.89722674,0.505,0.042,0.251,8.5,9.538,0.074,1.519232113
BL,254,2012,47.5,10.1,1704.745605,11.78343949,48.38,2.083,23.22503307,1.598,0.078,0.115,8.48,5.489,0.051,1.947922929
BL,255,2012,46.1,9.8,1767.815063,59.55414013,,,,1.391,0.076,0.102,8.55,5.044,0.029,
